Driver,Session,LapNumber,LapTimeSeconds,Compound,FuelRemaining,TyreAge,TrackStatus,Sector1Seconds,Sector2Seconds,Sector3Seconds,LapDeltaToBase,AvgThrottle (%),AvgBrake (0-1)
VER,Race_2025,61.0,78.862,HARD,2.0,1.0,1,23.624,32.097,23.141,0.0,67.0578231292517,0.17006802721088435
VER,Race_2025,62.0,77.019,HARD,0.19999999999999996,2.0,1,22.725,30.995,23.299,-1.8429999999999893,70.61071428571428,0.16428571428571428
VER,Race_2025,63.0,77.608,HARD,-1.6,3.0,1,22.882,31.341,23.385,-1.2539999999999907,67.88850174216027,0.17073170731707318
VER,Race_2025,64.0,80.06,HARD,-3.4000000000000004,4.0,1,22.74,32.759,24.561,1.1980000000000075,64.10819672131147,0.19344262295081968
VER,Race_2025,65.0,78.122,HARD,-5.2,5.0,1,22.835,31.771,23.516,-0.7399999999999949,65.9820788530466,0.1863799283154122
VER,Race_2025,66.0,78.081,HARD,-7.0,6.0,1,22.562,31.942,23.577,-0.7809999999999917,65.89273356401384,0.2041522491349481
