TyreAge,FuelRemaining,AvgThrottle (%),AvgBrake (0-1),PredictedLapTime
1,110.0,66.02222607686157,0.17752836055732552,-3583.4729532480123
2,108.2,66.02222607686157,0.17752836055732552,-3591.5281023428506
3,106.4,66.02222607686157,0.17752836055732552,-3599.526704029744
4,104.6,66.02222607686157,0.17752836055732552,-3607.4687583086925
5,102.8,66.02222607686157,0.17752836055732552,-3615.3542651796997
6,101.0,66.02222607686157,0.17752836055732552,-3623.183224642762
7,99.2,66.02222607686157,0.17752836055732552,-3630.9556366978795
8,97.4,66.02222607686157,0.17752836055732552,-3638.6715013450557
9,95.6,66.02222607686157,0.17752836055732552,-3646.3308185842816
10,93.8,66.02222607686157,0.17752836055732552,-3653.93358841557
11,92.0,66.02222607686157,0.17752836055732552,-3661.4798108389095
12,90.2,66.02222607686157,0.17752836055732552,-3668.969485854306
13,88.4,66.02222607686157,0.17752836055732552,-3676.4026134617616
14,86.6,66.02222607686157,0.17752836055732552,-3683.7791936612703
15,84.8,66.02222607686157,0.17752836055732552,-3691.099226452836
